id,shop_name,product_name,product_code,product_quantity,unit_price,discount,total_price,order_date,payment_due,payment,payment_date,payment_status,late_payment_status,city,province
1,Qhxmkw,Foltus 1L X 20,FOL-35,68,9,16,590,9/23/2020,11/7/2021,590,3/31/2023,FALSE,TRUE,Kabupaten Jepara,Jawa Tengah
2,Rfhgqxm,Plethora 250 ML X40,PLE-52,29,16,17,445,6/3/2020,5/25/2021,445,3/29/2023,FALSE,FALSE,Kota Magelang,Jawa Tengah
3,Soybau,unused,UNU-64,80,26,4,2094,2/27/2020,9/12/2021,2094,3/29/2023,TRUE,FALSE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
4,Ilfbe,Spreader 500 ML X 24,SPR-57,67,2,10,131,12/1/2020,11/28/2021,131,3/31/2023,TRUE,FALSE,Kabupaten Pemalang,Jawa Tengah
5,Srwxf,Plethora 250 ML X40,PLE-52,90,36,2,3233,12/13/2020,11/26/2021,3233,3/21/2023,TRUE,TRUE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
6,Mzlseg,Yara Mila Complex/1 Kg Repacking,YAR-65,59,31,10,1846,7/21/2020,1/24/2021,1846,3/29/2023,TRUE,TRUE,Kabupaten Wonogiri,Jawa Tengah
7,Xjfklgz,YaraMila Palmae 50 Kg,YAR-70,79,31,20,2427,6/21/2020,10/21/2021,2427,3/27/2023,FALSE,TRUE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
8,Tmewk,Corona 100 ML X 36,COR-22,81,30,6,2396,1/4/2020,5/29/2021,2396,3/27/2023,TRUE,FALSE,Kota Yogyakarta,Daerah Istimewa Yogyakarta
9,Ntnhsop,Anilo 50 Gr X 100,ANI-5,71,13,17,938,6/28/2020,2/26/2021,938,3/27/2023,TRUE,FALSE,Kabupaten Purworejo,Jawa Tengah
10,Hfwdd,Yara Mila Complex/1 Kg Repacking,YAR-65,54,23,8,1212,6/22/2020,5/6/2021,1212,3/24/2023,TRUE,FALSE,Kabupaten Purbalingga,Jawa Tengah
11,Pzobp,Blasil 100 ml X 100,BLA-13,66,14,3,928,9/12/2020,4/17/2021,928,3/28/2023,TRUE,FALSE,Kabupaten Sragen,Jawa Tengah
12,Ktealuq,Klensect 900 ML X 20,KLE-44,54,5,2,263,1/11/2020,12/15/2021,263,3/26/2023,FALSE,TRUE,Kabupaten Pemalang,Jawa Tengah
13,Ybfmhwz,CALIWA 350 OD 250 ML X 40,CAL-15,54,22,12,1169,3/3/2020,5/8/2021,1169,4/1/2023,FALSE,TRUE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
14,Dkmbh,JOKER 400 Gr X 25,JOK-40,58,32,14,1817,11/24/2020,9/26/2021,1817,3/28/2023,FALSE,TRUE,Kabupaten Sukoharjo,Jawa Tengah
15,Umrwzu,unused,UNU-64,36,10,16,329,12/23/2020,9/7/2021,329,3/23/2023,TRUE,TRUE,Kota Yogyakarta,Daerah Istimewa Yogyakarta
16,Xniyvoq,YaraMila Winner (50 Kg),YAR-72,86,12,12,995,1/20/2020,1/5/2021,995,3/27/2023,FALSE,TRUE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
17,Rstgunn,AGIL 250 ML X 40,AGI-2,73,28,1,2037,2/28/2020,3/2/2021,2037,3/23/2023,TRUE,TRUE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
18,Mdvqtf,Dense 500 Gr X 20,DEN-30,60,11,2,668,12/7/2020,10/26/2021,668,4/2/2023,FALSE,FALSE,Kabupaten Sragen,Jawa Tengah
19,Zbupp,Liberty 500 X 20,LIB-50,80,43,3,3414,7/10/2020,9/10/2021,3414,3/26/2023,FALSE,TRUE,Kabupaten Bantul,Daerah Istimewa Yogyakarta
20,Xcksch,Astonish 500 ML X 24,AST-7,63,6,12,337,4/5/2020,11/28/2021,337,4/2/2023,FALSE,TRUE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
21,Qgpqkl,CHLORMITE 900 ML X 20,CHL-21,75,22,5,1652,3/1/2020,8/25/2021,1652,3/28/2023,FALSE,FALSE,Kabupaten Wonogiri,Jawa Tengah
22,Piggxz,Chalenger 1L X 20,CHA-17,24,13,16,287,4/30/2020,6/4/2021,287,3/25/2023,TRUE,FALSE,Kabupaten Wonosobo,Jawa Tengah
